gsubind,mean_eigenvalue,median_eigenvalue,mean_var_explained,median_var_explained,mean_peers,n_obs
45203015,1.4502707810050568,1.4378200117435123,0.1836762728648461,0.18005587042897434,8.111957882335616,108648
15104050,1.8135369961652406,1.742064197821679,0.1835164629222237,0.17005714899876936,10.233958567435964,138828
25301010,2.0526875425062014,1.9227718110627703,0.17805980284177308,0.16687360492265935,11.843479200736857,212796
45102020,1.4196361446050212,1.3944778073098358,0.17683274175282054,0.16914226447159114,8.239597130242826,72480
45202030,1.5060369601025034,1.4724589699934691,0.17622928109395017,0.17063244652894025,8.766678687342228,185791
30302010,1.5728124261440175,1.5471138873178996,0.17434372097459333,0.170836901607793,9.381443172401093,162905
55102010,1.7522359685982065,1.6770459228728196,0.1727582036513875,0.16900869263758872,10.110474408451253,102612
40201060,2.0682324059699084,1.856451719714446,0.1724911687774368,0.1722409459583503,12.50707875979343,152781
25202010,1.8548098536225732,1.6681836159423578,0.17078720852593487,0.16722270029510977,11.141670477061423,157464
40203020,2.24371785594505,2.046960791624621,0.1704374179824501,0.1585359514009346,13.991700703032874,245081
20201050,1.7267331146233984,1.6809604729845284,0.17015320032312015,0.1676086268655895,10.259194831013916,169008
25101010,2.0072667611628443,1.752797465965324,0.1673290401433239,0.1735388058422659,13.053410330445942,233775
45203020,1.641358446056083,1.585431303882757,0.1655958037850459,0.1604853670656505,10.360100267957472,138828
50203010,1.8443103135590129,1.9618113258380037,0.1647403425982152,0.16053079231423328,11.590174559281023,92576
35103010,1.740427104521743,1.7173358571275705,0.16258386587517332,0.15151161444393602,11.194230462731765,188230
40301020,2.072480722511251,2.0181750761373287,0.1621368076732534,0.15534010162223993,12.92714974520692,175044
45102010,1.6466018873709258,1.6043159298259644,0.1614756970284267,0.15048436996525458,10.72973803860654,185409
40202010,2.197142773996244,1.8706617808670194,0.15984286159670744,0.14424450124902893,14.630636189960946,236596
20202010,2.022994506689536,1.9471604156100772,0.15712828174293184,0.15584252444069488,13.253489166014017,199188
55103010,2.2625741710913867,2.140452639659906,0.15479825547936152,0.1497746525093456,14.7983153709323,114684
25201030,2.116706638107049,2.0106962599598193,0.15300048950131434,0.15748001239999027,14.559257359071378,187116
