naics,mean_eigenvalue,median_eigenvalue,mean_var_explained,median_var_explained,mean_peers,n_obs,naics_name
541219,1.0416988299529826,1.0336197101620994,0.518782552218648,0.5147590223227916,2.0,759,Other Accounting Services
524292,1.0648715138200968,1.057372875096762,0.5184439718415585,0.5221717550140297,2.0649748413913804,18284,Pharmacy Benefit Management and Other Third Party Administration of Insurance and Pension Funds
531390,1.1739259210298438,1.126862023540051,0.5181981623584895,0.518114343265659,2.2986646122239343,15576,Other Activities Related to Real Estate
621111,1.0905341653510008,1.089756112991371,0.517889181623167,0.5382209353347279,2.1366120218579234,3660,Offices of Physicians (except Mental Health Specialists)
337910,1.1730128017184402,1.1346563030823824,0.5177300506059953,0.5239956085370197,2.3307974581580595,22346,Mattress Manufacturing
336611,1.0383735539801837,1.038379075220904,0.5171265120020359,0.5171292616675534,2.0,84,Ship Building and Repairing
211130,1.0818126142376034,1.0784765441405841,0.5157679296184752,0.529342346212581,2.1187648456057007,2526,Natural Gas Extraction
561311,1.081726253667923,1.070891833172087,0.5155207073780954,0.5258507640423349,2.121922853266137,10318,Employment Placement Agencies
325110,1.0341852091276107,1.0225572080011256,0.5150406497837902,0.509249720651354,2.0,402,Petrochemical Manufacturing
484122,1.4857174631338794,1.4555736512979562,0.5141527575866057,0.5092166258476769,2.961593692070703,38301,"General Freight Trucking, Long-Distance, Less Than Truckload"
311941,1.0323020961601816,1.0286837447389134,0.5141028296353286,0.5123008331933873,2.0,515,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
517311,1.113943255760984,1.1015051446407957,0.5139831018133298,0.5292254583366472,2.2071069086472472,13114,Unknown
722515,1.0504642170967102,1.0424358511483776,0.5123862685455596,0.515803622000881,2.058839261834715,3739,Snack and Nonalcoholic Beverage Bars
621498,1.0660679939800892,1.0584111892544597,0.5119382306683675,0.5226182626436807,2.1035595337218984,9608,All Other Outpatient Care Centers
492110,1.077385883093821,1.068893669217171,0.5118743446447835,0.5226201073434682,2.129812834224599,7480,Couriers and Express Delivery Services
